<<<<<<< HEAD
   0.814    0.331    0.597    0.402    0.912    0.061    0.235    0.580
   0.601    0.066    0.397    0.565    0.933    0.860    0.301    0.596
   0.416    0.051    0.302    0.356    0.660    0.444    0.846    0.390
   0.917    0.947    0.949    0.955    0.565    0.015    0.044    0.441
   0.258    0.468    0.599    0.044    0.242    0.915    0.378    0.924
   0.337    0.728    0.337    0.258    0.618    0.026    0.733    0.958
   0.151    0.811    0.916    0.265    0.740    0.895    0.630    0.447
   0.455    0.265    0.731    0.929    0.292    0.956    0.084    0.898
=======
   0.806    0.104    0.972    0.164    0.827    0.730    0.206    0.498
   0.303    0.164    0.338    0.501    0.647    0.832    0.677    0.056
   0.772    0.362    0.691    0.013    0.149    0.077    0.919    0.268
   0.417    0.172    0.311    0.880    0.820    0.046    0.674    0.562
   0.237    0.941    0.683    0.237    0.508    0.912    0.297    0.741
   0.802    0.750    0.406    0.154    0.706    0.694    0.562    0.797
   0.520    0.494    0.146    0.115    0.338    0.800    0.389    0.370
   0.024    0.119    0.621    0.001    0.817    0.975    0.936    0.930
>>>>>>> 0973559f59a007cd8d663bf276310dd6065d8768
